sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
復興,高雄市,67,細懸浮微粒,普通,1.5,0.5,9.1,14.1,44,22,22,24,2,0.6,132,"2022/12/15 01:00:00",0.6,22,49,1,120.312017,22.608711,71
埔里,南投縣,52,細懸浮微粒,普通,1.3,0.36,14.8,17.7,27,15,7.2,8.7,1.5,0.4,311,"2022/12/15 01:00:00",0.3,16,30,1,120.967903,23.968842,72
馬祖,連江縣,94,細懸浮微粒,普通,1.5,0.26,32.3,34,46,31,6.4,7.3,0.8,3.1,3,"2022/12/15 01:00:00",0.2,33,67,1,119.93149378,26.15188416,75
金門,金門縣,49,,良好,1.8,0.24,27.4,27.3,16,12,9.5,10,0.5,4.2,30,"2022/12/15 01:00:00",0.2,15,20,1,118.312256,24.432133,77
馬公,澎湖縣,44,,良好,0.5,0.13,39.6,,21,14,1,1.1,0,7.6,31,"2022/12/15 01:00:00",0.1,13,27,0,119.566158,23.569031,78
關山,臺東縣,29,,良好,1,0.2,24.1,31.4,4,5,2.8,3.8,0.9,0.7,23,"2022/12/15 01:00:00",0.2,5,5,0,121.161933,23.045083,80
麥寮,雲林縣,33,,良好,1.6,0.2,29.1,30.7,24,10,5.6,6.8,1.1,4.1,0,"2022/12/15 01:00:00",0.2,10,28,1,120.251825,23.753506,83
富貴角,新北市,41,,良好,0.1,0.12,44.4,44.2,22,5,1,0.9,0,13.2,34,"2022/12/15 01:00:00",0.1,11,34,0,121.53656894,25.29681695,84
大城,彰化縣,31,,良好,0.5,0.15,31.6,33.6,18,6,,,,5.2,44,"2022/12/15 01:00:00",0.1,7,20,0,120.26964167,23.85493056,85
彰化(員林),彰化縣,20,,良好,1.6,0.25,20.7,20.8,2,3,9.5,10.2,0.7,0.3,349,"2022/12/15 01:00:00",0.3,6,15,0,120.56373,23.96117,201
高雄(湖內),高雄市,48,,良好,2.1,0.36,12.2,17.7,27,12,18.5,19.6,1.1,0.8,275,"2022/12/15 01:00:00",0.3,14,31,2,120.24535,22.87985556,202
臺南(麻豆),臺南市,43,,良好,1.4,0.39,15.4,20.7,31,12,13.6,14.5,0.9,2,350,"2022/12/15 01:00:00",0.3,13,33,1,120.24583056,23.17904722,203
屏東(琉球),屏東縣,76,細懸浮微粒,普通,7.5,1.22,1.6,24.6,70,33,38.6,44,5.3,0.6,314,"2022/12/15 01:00:00",0.5,25,53,3,120.37722,22.35222,204
宜蘭(壯圍),宜蘭縣,38,,良好,0.2,0.13,43.6,41.9,14,2,0.9,0.9,0,4.4,35,"2022/12/15 01:00:00",0.1,3,17,0,121.815708,24.765468,310
新北(樹林),新北市,19,,良好,0,0.16,27.6,21.7,4,4,6.2,6.7,0.4,0,139,"2022/12/15 01:00:00",0.3,5,6,0,121.38352778,24.94902778,311
臺南(學甲),臺南市,47,,良好,1.2,0.28,18.8,22.5,26,13,11.8,14.6,2.7,2.6,4,"2022/12/15 01:00:00",0.3,14,41,0,120.18339722,23.23688056,312
屏東(枋山),屏東縣,107,細懸浮微粒,對敏感族群不健康,2.7,0.47,28.5,36.3,69,34,17,17.2,0.1,0.8,39,"2022/12/15 01:00:00",0.3,38,69,2,120.651472,22.260899,313
